"CODIGOCONTRATO","NOMBRE_TIPOREGISTRO","CODIGO_ESPECIALIDAD","NOMBRE_ESPECIALIDAD","CODIGO_CATEGORIA","NOMBRE_CATEGORIA"
350795,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era A","Tercera A"
361484,"Sin Registro","0","Sin Especialidad","no existe","no existe"
350795,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
361639,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","B","B"
361170,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
362208,"Contratista O. Mayores","1 M.","Montaje de Equipos Electricos","2da","Segunda"
362222,"Sin Registro","0","Sin Especialidad","no existe","no existe"
361170,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A","A"
361170,"Contratista O. Menores","5 O.M.","Pavimentos","A","A"
361170,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A","A"
355204,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
362731,"Contratista O. Menores","14 O.M.","Montaje de Equipos Eléctricos","B","B"
358390,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A a S","A Superior"
363557,"Consultor","4.4.","Obras Portuarias","2da","Segunda"
362731,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","B","B"
362731,"Contratista O. Menores","13 O.M.","Instalaciones Eléctricas","B","B"
363557,"Consultor","4.1.","Estructuras","2da","Segunda"
363061,"Sin Registro","0","Sin Especialidad","no existe","no existe"
366956,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A","A"
366092,"Sin Registro","0","Sin Especialidad","no existe","no existe"
371234,"Sin Registro","0","Sin Especialidad","no existe","no existe"
365263,"Consultor","4.8.","Obras Sanitarias","3era","Tercera"
355830,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
364772,"Otro Registro","0","Sin Especialidad","no existe","no existe"
369218,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A","A"
371403,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A a S","A Superior"
372499,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","3era","Tercera"
365708,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
373166,"Consultor","4.8.","Obras Sanitarias","3era","Tercera"
373167,"Consultor","4.8.","Obras Sanitarias","3era","Tercera"
370834,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
370834,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
370796,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
381165,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","B","B"
376890,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
345925,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3","Tercera"
345925,"Contratista O. Mayores","3 O.C.","Pavimentos","3","Tercera"
359153,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
376890,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
367658,"Contratista O. Menores","14 O.M.","Montaje de Equipos Eléctricos","B","B"
367658,"Contratista O. Menores","13 O.M.","Instalaciones Eléctricas","A a S","A Superior"
374476,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era A","Tercera A"
374476,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era A","Tercera A"
375850,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A","A"
389146,"Contratista O. Mayores","2 M.","Montaje de Equipos Mecanicos","3","Tercera"
388053,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
389555,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
389555,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
389536,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
