"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45840,"30129164-0","TERMINADO","Sectorial","AMPLIACION SERVICIO A.P.R. TOTIHUE A VALLE DE TOTIHUE, REQUINOA","Libertador General Bernardo O'Higgins",02/12/16,01/05/17,291821,"CACHAPOAL","REQUINOA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45839,"30256872-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO AGUA POTABLE RURAL SAN GREGORIO, NANCAGUA","Libertador General Bernardo O'Higgins",24/12/16,22/06/17,467927,"COLCHAGUA","NANCAGUA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45836,"30328974-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA APR NERQUIHUE EL BUCHE, LOLOL","Libertador General Bernardo O'Higgins",03/11/16,29/09/17,660395,"COLCHAGUA","LOLOL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45835,"30155927-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN SISTEMA DE APR CAÑAS UNO Y SUR, ILLAPEL","Coquimbo",17/11/16,30/03/18,935419,"CHOAPA","ILLAPEL"
"Competitividad / Conectividad","Dirección de Vialidad",45829,"30484616-0","EN EJECUCION","Sectorial","CONSERVACION Y REPOSICION ESTACIONES PESAJE FIJAS AUTOMATICAS 2018","Interregional",01/07/19,01/10/24,3394457,"CONCEPCION, BIO BIO, ARICA, PARINACOTA","CONCEPCION, CORONEL, SAN PEDRO DE LA PAZ, LOS ANGELES, ARICA, PUTRE"
"Competitividad / Conectividad","Dirección de Vialidad",45824,"40021426-0","TERMINADO","Sectorial","CONSERVACION PLAZA DE PEAJE CHAIMAVIDA RUTA 148, SECTOR QUEIME 2021","Ñuble",21/09/21,21/09/23,100072,"DIGUILLÍN","QUILLON"
"Competitividad / Conectividad","Dirección de Vialidad",45821,"30466157-0","TERMINADO","Sectorial","CONSERVACION PLAZA DE PEAJE CHAIMAVIDA EN RUTA 148 SECT: QUEIME 2017","Ñuble",21/08/17,21/08/19,95318,"DIGUILLÍN","QUILLON"
"Competitividad / Conectividad","Dirección de Vialidad",45820,"40025145-0","TERMINADO","Sectorial","CONSERVACION PLAZA PEAJE SAN ROQUE-  REGION DEL BIO BIO 2021","Biobío",20/09/21,20/09/23,112268,"CONCEPCION, BIO BIO","SANTA JUANA, NACIMIENTO"
"Competitividad / Conectividad","Dirección de Vialidad",45819,"40006894-0","TERMINADO","Sectorial","CONSERVACION PLAZA DE PEAJE SAN ROQUE REGION DEL BIO BIO 2019","Biobío",04/07/17,30/07/21,117208,"CONCEPCION, BIO BIO","SANTA JUANA, NACIMIENTO"
"Competitividad / Conectividad","Dirección de Vialidad",45817,"30466143-0","TERMINADO","Sectorial","CONSERVACION PLAZA DE PEAJE SAN ROQUE-REGION DEL BIOBIO 2017-2019","Biobío",04/07/17,04/07/19,89976,"CONCEPCION, BIO BIO","SANTA JUANA, NACIMIENTO"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",45816,"30434979-0","TERMINADO","Sectorial","RESTAURACION ASCENSOR CORDILLERA COMUNA DE VALPARAISO","Valparaíso",01/01/16,05/11/18,2803529,"VALPARAISO","VALPARAISO"
"Competitividad / Conectividad","Dirección de Vialidad",45812,"40025149-0","TERMINADO","Sectorial","CONSERVACION NUEVA PLAZA DE PEAJE CRISTO REDENTOR 2021","Valparaíso",16/11/21,16/11/23,129907,"LOS ANDES","LOS ANDES"
"Competitividad / Conectividad","Dirección de Vialidad",45811,"40025154-0","TERMINADO","Sectorial","CONSERVACION EQUIPAMIENTO TECNOLOGICO PLAZA DE PEAJE TUNEL LAS RAICES","La Araucanía",30/11/21,30/11/23,135908,"MALLECO","LONQUIMAY"
"Competitividad / Conectividad","Dirección de Vialidad",45810,"40006610-0","TERMINADO","Sectorial","CONSERVACION DE EQUIPAMIENTO TECNOLÓGICO PARA LA PLAZA DE PEAJE LAS RAÍCES 2020","La Araucanía",01/07/16,25/10/21,175508,"CAUTIN","TEMUCO, CARAHUE, CUNCO, CURARREHUE, FREIRE, GALVARINO, GORBEA, LAUTARO, LONCOCHE, MELIPEUCO, NUEVA IMPERIAL, PADRE LAS CASAS, PERQUENCO, PITRUFQUEN, PUCON, SAAVEDRA, TEODORO SCHMIDT, TOLTEN, VILCUN, VILLARRICA"
"Competitividad / Conectividad","Dirección de Vialidad",45808,"30466287-0","TERMINADO","Sectorial","CONSERVACION TUNEL LAS RAICES - REGION DE LA ARAUCANÍA","La Araucanía",21/09/18,10/12/18,433628,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45804,"30484623-0","TERMINADO","Sectorial","CONSERVACION Y MEJORAMIENTO DE SEGURIDAD VIAL EN RUTAS DE LA RED 2018 VI REG","Libertador General Bernardo O'Higgins",01/01/18,01/07/20,4280019,"INTERPROVINCIAL","INTERCOMUNAL"
