"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34997,"30092878-0","TERMINADO","Sectorial","CONSERVACION OBRAS PORTUARIAS MENORES VIII REGION","Biobío",25/05/10,02/10/10,172433,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34995,"30083597-0","TERMINADO","Sectorial","CONSERVACION OBRAS PORTUARIAS REGION VALPARAISO","Valparaíso",11/09/09,28/01/11,1290955,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34994,"30081936-0","TERMINADO","Sectorial","CONSERVACION OBRAS PORTUARIAS MENORES IV REGION","Coquimbo",06/03/09,06/06/10,815544,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34980,"30082810-0","TERMINADO","Sectorial","CONSERVACION DE RIBERAS DE CAUCES NATURALES, XI REGIÓN","Aysén del General Carlos Ibáñez del Campo",05/02/09,12/12/15,7244080,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34979,"30091041-0","TERMINADO","Sectorial","CONSERVACION DE RIBERAS DE CAUCES NATURALES REGION DE LOS LAGOS","Los Lagos",01/04/10,29/12/12,1882194,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",34972,"30080001-0","TERMINADO","Sectorial","CONSERVACION DE SEGURIDAD VIAL NACIONAL EN ZONAS DE ESCUELAS","Interregional",06/10/09,08/10/12,10040256,"CURICO","CURICO"
"Competitividad / Conectividad","Dirección de Vialidad",34969,"30079998-0","TERMINADO","Sectorial","CONSERVACION DE SEÑALES Y ELEMENTOS DE SEGURIDAD VIAL - X REGION","Los Lagos",01/01/14,14/09/15,1468663,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",34968,"30079997-0","TERMINADO","Sectorial","CONSERVACION DE SEÑALES Y ELEMENTOS SEG VIAL -  XV REGION","Arica y Parinacota",10/05/11,28/12/11,1165739,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",34966,"30079993-0","TERMINADO","Sectorial","CONSERVACION DE SEÑALES Y ELEMENTOS DE SEGURIDAD VIAL - III REGION","Atacama",22/10/11,23/06/12,1526803,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",34965,"30079991-0","TERMINADO","Sectorial","CONSERVACION DE SEÑALES Y ELEMENTOS DE SEGURIDAD VIAL - II REGION","Antofagasta",19/07/11,13/07/12,928982,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",34964,"30079990-0","TERMINADO","Sectorial","CONSERVACION DE SEÑALES Y ELEMENTOS DE SEGURIDAD VIAL - I REGION","Tarapacá",28/12/11,19/01/14,786621,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",34963,"30079989-0","TERMINADO","Sectorial","CONSERVACION DE SEÑALES Y ELEMENTOS DE SEGURIDAD VIAL - XIV REGION","Los Ríos",10/09/11,20/07/12,1127917,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34954,"30061166-0","TERMINADO","Sectorial","CONSTRUCCION COLECTOR DE AGUAS LLUVIAS LA PAMPA, LA SERENA","Coquimbo",01/01/09,18/01/13,2768493,"ELQUI","LA SERENA"
"Competitividad / Conectividad","Dirección de Vialidad",34952,"30078069-0","EN EJECUCION","Sectorial","MEJORAMIENTO RUTA A-616 , REG DE TARAPACA ","Tarapacá",22/10/09,30/12/30,20405104,"IQUIQUE","ALTO HOSPICIO"
"Competitividad / Conectividad","Dirección de Vialidad",34914,"30091252-0","TERMINADO","Sectorial","CONSERVACION RUTA 5 , S:ALTO TANA -ALTO CHIZA","Tarapacá",04/05/11,13/04/16,8009519,"TAMARUGAL","HUARA"
"Seguridad hídrica","Dirección de Obras Hidráulicas",34891,"30078364-0","TERMINADO","Sectorial","CONSERVACION DE OBRAS DE RIEGO FISCALES XV REGION","Arica y Parinacota",11/06/08,15/10/15,1958111,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34889,"30078362-0","TERMINADO","Sectorial","CONSERVACION DE RIBERAS DE CAUCES NATURALES REGIÓN DE TARAPACÁ","Tarapacá",05/01/09,09/12/13,2187206,"TAMARUGAL","CAMIÑA"
"Seguridad hídrica","Dirección de Obras Hidráulicas",34888,"30078360-0","TERMINADO","Sectorial","CONSERVACION Y REPARACIÓN OBRAS FISCALES DE RIEGO REGIÓN DE ANTOFAG COMUNA DE CALAMA, EMBALSE CONCHI","Antofagasta",03/04/08,01/12/10,384292,"EL LOA","CALAMA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34887,"30078359-0","TERMINADO","Sectorial","CONSERVACION DE RIBERAS DE CAUCES NATURALES REGIÓN DE ANTOFAGASTA REGIÓN DE ANTOFAGASTA","Antofagasta",10/06/08,22/10/10,453687,"EL LOA, TOCOPILLA","CALAMA, SAN PEDRO DE ATACAMA, MARIA ELENA"
"Competitividad / Conectividad","Dirección de Obras Portuarias",34808,"30077492-0","TERMINADO","Extrasectorial","REPOSICION TERMINAL DE PASAJEROS DE NIEBLA","Los Ríos",29/03/10,04/01/17,4958627.891,"VALDIVIA","VALDIVIA"
"Competitividad / Conectividad","Dirección de Vialidad",34806,"30076668-0","PREFACTIBILIDAD","Sectorial","CONSTRUCCION COST. DEL MAIPO, TRAMO PTE. LOS MORROS-PTE. LAS VERTIEN","Metropolitana de Santiago",29/09/10,30/12/32,24802312,"CORDILLERA, MAIPO","SAN JOSE DE MAIPO, CALERA DE TANGO"
"Seguridad hídrica","Dirección de Obras Hidráulicas",34802,"30073340-0","TERMINADO","Sectorial","CONSERVACION INFRAESTRUCTURA OBRAS FISCALES DE RIEGO EN EL RÍO LOA","Antofagasta",04/06/09,31/12/12,1763080,"EL LOA, TOCOPILLA","CALAMA, MARIA ELENA"
"Competitividad / Conectividad","Dirección de Vialidad",34801,"30077029-0","EN EJECUCION","Sectorial","CONSTRUCCION SEGUNDO ACCESO A SAN JOSE DE LA MARIQUINA","Los Ríos",27/10/10,30/12/30,15970424,"VALDIVIA","MARIQUINA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34787,"30077578-0","TERMINADO","Sectorial","CONSTRUCCION INFRAESTRUCTURA EN CAUCES NATURALES ETAPA II LLUTA Y AZAPA","Arica y Parinacota",11/12/08,13/12/11,1585234,"ARICA","ARICA"
"Competitividad / Conectividad","Dirección de Vialidad",34762,"30076518-0","TERMINADO","Sectorial","MEJORAMIENTO RUTA 7 SECTOR: LENCA - LA ARENA","Los Lagos",07/05/09,26/11/19,13020573,"LLANQUIHUE","PUERTO MONTT"
"","Dirección de Vialidad",34761,"30076517-0","TERMINADO","Sectorial","CONSTRUCCION PASARELA PEATONAL RIO LOCO EN EX RUTA 5 KM. 91.50","Libertador General Bernardo O'Higgins",05/12/08,09/02/11,2306794,"CACHAPOAL","RANCAGUA"
"Competitividad / Conectividad","Dirección de Vialidad",34758,"30076508-0","DISEÑO","Sectorial","MEJORAMIENTO RUTA 240, SECTOR COYHAIQUE - CHACABUCO","Aysén del General Carlos Ibáñez del Campo",23/12/10,14/05/14,984715,"AYSEN","AYSEN"
"Competitividad / Conectividad","Dirección de Vialidad",34757,"30076357-0","TERMINADO","Mixto","CONSTRUCCION CAMINO DE BAJO ESTANDAR LAGO PORTALES","Aysén del General Carlos Ibáñez del Campo",01/01/13,30/09/16,1239596.949,"AYSEN","AYSEN"
"Seguridad hídrica","Dirección de Obras Hidráulicas",34756,"30077999-0","TERMINADO","Sectorial","CONSERVACION OBRAS DE RIEGO VIII REGION DEL BIO BIO","Biobío",22/08/08,28/05/10,153835,"CONCEPCION","CONCEPCION"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34755,"30077960-0","TERMINADO","Mixto","CONSERVACION DE RIBERAS Y CAUCES NATURALES VIII REGIÓN DEL BIO BIO","Biobío",18/04/08,12/09/12,2185607.706,"CONCEPCION","CONCEPCION"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34754,"30077957-0","TERMINADO","Mixto","CONSERVACION AGUAS LUVIAS VIII REGIÓN DEL BIO BIO","Biobío",11/04/08,15/12/11,1989842.998,"CONCEPCION","CONCEPCION"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34743,"30077707-0","TERMINADO","Sectorial","CONSERVACION PASEO COSTERO CARTAGENA","Valparaíso",26/07/08,30/08/12,2356626,"SAN ANTONIO","CARTAGENA"
"Competitividad / Conectividad","Dirección de Vialidad",34734,"30077015-0","EN EJECUCION","Sectorial","MEJORAMIENTO Y CONSTR. CAMINO CURANILAHUE-NACIMIENTO POR B. LOS RIOS","Biobío",20/11/08,30/12/28,25002790,"ARAUCO, BIO BIO","CURANILAHUE, NACIMIENTO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34718,"30076531-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA APR ESTACIÓN BOROA NUEVA IMPERIAL","La Araucanía",11/08/12,01/06/13,649041,"CAUTIN","NUEVA IMPERIAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34714,"20196156-0","TERMINADO","Sectorial","CONSTRUCCION INFRAESTRUCTURA PORTUARIA EN PTO. NAVARINO","Magallanes y de la Antártica Chilena",31/12/08,31/10/23,5664272,"ANTARTICA CHILENA","CABO DE HORNOS"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34712,"30078092-0","TERMINADO","Sectorial","CONSERVACION OBRAS PORTUARIAS MENORES 2009 REGION DE LA ARAUCANIA","La Araucanía",05/01/11,02/09/11,328207,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34703,"30078085-0","TERMINADO","Sectorial","CONSERVACION GLOBAL OBRAS PORTUARIAS 2008 REGION DE ANTOFAGASTA","Antofagasta",14/10/08,09/12/11,2219501,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",34682,"30077061-0","EN EJECUCION","Sectorial","REPOSICION RUTA 11 CH, S: ARICA TAMBO QUEMADO KM 170 AL 192","Arica y Parinacota",08/05/09,01/07/30,49589995,"PARINACOTA","PUTRE"
"Competitividad / Conectividad","Dirección de Vialidad",34680,"30076736-0","DISEÑO","Sectorial","MEJORAMIENTO REHABILITACIÓN Y CONSERV.RED VIAL, XIV REGIÓN (1°E","Los Ríos",19/02/09,31/03/11,694396,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",34649,"30080601-0","EN EJECUCION","Sectorial","REPOSICION PAV. RUTA T-85 S:RIO BUENO-CAYURRUCA","Los Ríos",26/01/10,30/12/29,33282723,"RANCO","RIO BUENO"
"Competitividad / Conectividad","Dirección de Vialidad",34635,"30081051-0","TERMINADO","Sectorial","MEJORAMIENTO RUTA 203-CH SECTOR:CHOSHUENCO-PUERTO FUY","Los Ríos",01/01/14,30/12/19,15498018,"VALDIVIA","PANGUIPULLI"
"Competitividad / Conectividad","Dirección de Vialidad",34634,"30080515-0","EN EJECUCION","Mixto","MEJORAMIENTO RUTAS 203-201-CH SECTOR: PANGUIPULLI-COÑARIPE II","Los Ríos",27/12/11,01/12/24,16484933.466,"VALDIVIA","PANGUIPULLI"
"Competitividad / Conectividad","Dirección de Vialidad",34594,"30076742-0","TERMINADO","Sectorial","REPOSICION 9 PUENTES MENORES EMERGENCIAS AÑO 2006, VIII REGION","Interregional",04/12/08,15/01/18,6317921,"CONCEPCION, ARAUCO, BIO BIO","HUALQUI, TOME, CAÑETE, LOS ALAMOS, YUMBEL"
"Competitividad / Conectividad","Dirección de Vialidad",34591,"30076384-0","TERMINADO","Sectorial","MEJORAMIENTO RUTA P-40, SECTOR QUIAPO - MILLONHUE, PROV. DE ARAUCO","Biobío",25/08/08,07/03/18,18360324,"ARAUCO","LEBU, ARAUCO"
"Competitividad / Conectividad","Dirección de Vialidad",34582,"30076652-0","TERMINADO","Mixto","CONSTRUCCION ACCESOS VIALES PLATAFORMA LOGISTICA DEL BIO BIO","Biobío",07/01/11,26/06/12,3961516.948,"CONCEPCION","CONCEPCION, TALCAHUANO"
"Competitividad / Conectividad","Dirección de Vialidad",34563,"30076931-0","TERMINADO","Sectorial","MEJORAMIENTO CNO. PADRE HURTADO G-45, SECTOR CUESTA CHADA CNA PAINE","Metropolitana de Santiago",24/08/10,28/12/21,15120031,"MAIPO","PAINE"
"Competitividad / Conectividad","Dirección de Vialidad",34559,"30076726-0","EN EJECUCION","Sectorial","REPOSICION RUTA 11 CH, S: ARICA TAMBO QUEMADO KM 36-60","Arica y Parinacota",12/08/10,01/12/24,37240156,"ARICA","ARICA"
"Competitividad / Conectividad","Dirección de Vialidad",34558,"30075813-0","DISEÑO","Sectorial","MEJORAMIENTO REHABILITACION Y CONSERV. RED VIAL VI REGION (2ª ETAPA)","Libertador General Bernardo O'Higgins",18/12/09,25/08/11,1029463,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34548,"30076327-0","TERMINADO","Sectorial","CONSTRUCCION HIDROPARQUE LA AGUADA, REGION METROPOLITANA","Metropolitana de Santiago",01/01/09,18/09/13,22477948,"SANTIAGO","PEDRO AGUIRRE CERDA, SAN JOAQUIN, SAN MIGUEL"
"Competitividad / Conectividad","Dirección de Obras Portuarias",34544,"30083073-0","TERMINADO","Sectorial","CONSTRUCCION EMBARCADEROS RIO LINGUE, MARIQUINA","Los Ríos",28/03/11,10/12/20,2703495,"VALDIVIA","MARIQUINA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34543,"30081345-0","TERMINADO","Sectorial","CONSTRUCCION INFRAESTRUCTURA PORTUARIA CALETA ESTAQUILLA,LOS MUERMOS","Los Lagos",06/11/10,06/01/18,9445842,"LLANQUIHUE","LOS MUERMOS"
"Competitividad / Conectividad","Dirección de Obras Portuarias",34529,"30080008-0","TERMINADO","Sectorial","MEJORAMIENTO TERMINAL PARA TRANSBORDADORES PUERTO WILLIAMS, ISLA NAVARINO","Magallanes y de la Antártica Chilena",26/02/09,09/08/12,2330935,"ANTARTICA CHILENA","CABO DE HORNOS"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34522,"30075826-0","TERMINADO","Sectorial","CONSERVACION TABLESTACADO Y PROTECCION CATODICA SITIO 7 DE ARICA","Arica y Parinacota",08/07/08,07/11/10,662338,"ARICA","ARICA"
"Competitividad / Conectividad","Dirección de Vialidad",34464,"30083629-0","EN EJECUCION","Sectorial","REPOSICION RUTA 11-CH, ARICA-T.QUEM. S:ACC MINA CHOQUE-COTACOTANI","Arica y Parinacota",01/01/09,01/12/24,22555817,"PARINACOTA","PUTRE"
"Competitividad / Conectividad","Dirección de Vialidad",34459,"30068849-0","TERMINADO","Sectorial","MEJORAMIENTO RUTA 7: LA JUNTA - LIMITE REGIONAL NORTE","Aysén del General Carlos Ibáñez del Campo",01/01/12,31/12/18,55231070,"AYSEN","CISNES"
"Competitividad / Conectividad","Dirección de Vialidad",34455,"30068893-0","TERMINADO","Sectorial","AMPLIACION RUTA 9, PTA.ARENAS-AEROP, KM.8,1-KM.12.1 / KM.13.8-18,4","Magallanes y de la Antártica Chilena",01/01/09,20/11/15,22955498,"MAGALLANES","PUNTA ARENAS"
"Competitividad / Conectividad","Dirección de Vialidad",34453,"30310124-0","TERMINADO","Extrasectorial","MEJORAMIENTO RUTA Y-65, SECTOR PORVENIR - MANANTIALES, XIIR","Magallanes y de la Antártica Chilena",24/01/16,01/02/22,80597136.461,"TIERRA DEL FUEGO","PORVENIR"
"","Dirección de Vialidad",34444,"30075188-0","TERMINADO","Sectorial","HABILITACION CORREDOR TRANSPORTE PUBLICO AVDA. SANTA ROSA SUR","Metropolitana de Santiago",28/12/07,25/01/12,50146131,"SANTIAGO","SANTIAGO"
"Competitividad / Conectividad","Dirección de Vialidad",34440,"30078437-0","TERMINADO","Mixto","MEJORAMIENTO RUTA I-796 , CABRERIA - AUQUINCO","Libertador General Bernardo O'Higgins",10/09/08,26/12/15,2690570.233,"COLCHAGUA","CHEPICA"
"Competitividad / Conectividad","Dirección de Vialidad",34409,"30074839-0","TERMINADO","Sectorial","AMPLIACION AV. JORGE ALESSANDRI SECTOR: AEROPUERTO - EL TRÉBOL","Biobío",01/01/11,30/01/15,26179950,"CONCEPCION","CONCEPCION"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34407,"30075236-0","EN EJECUCION","Sectorial","MEJORAMIENTO CANALES CAUPOLICAN Y BANNEN, LOTA, REGIÓN DEL BIO BIO ","Biobío",22/01/08,30/12/24,21848091,"CONCEPCION","LOTA"
"Seguridad hídrica","Dirección de Obras Hidráulicas",34399,"30067327-0","DISEÑO","Sectorial","CONSTRUCCION DISEÑOS COMPLEMENTARIOS EMBALSE PUNILLA","Ñuble",11/12/07,27/12/13,2604934,"PUNILLA","SAN FABIAN"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",34391,"30074613-0","TERMINADO","Sectorial","HABILITACION CENTRO GABRIELA MISTRAL SANTIAGO","Metropolitana de Santiago",01/01/07,23/12/11,43876715,"SANTIAGO","SANTIAGO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34379,"20183198-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN SERVICIO APR HUAQUEN COMUNA DE CUREPTO","Maule",18/10/07,25/07/12,794002,"TALCA","CUREPTO"
"Competitividad / Conectividad","Dirección de Obras Portuarias",34362,"30074624-0","TERMINADO","Sectorial","CONSTRUCCION RAMPA VEHICULAR DE CALBUCO","Los Lagos",08/09/08,25/09/13,6061962,"LLANQUIHUE","CALBUCO"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34352,"30068516-0","TERMINADO","Sectorial","CONSTRUCCION OBRAS DE REGULACIÓN SECTOR PARQUE DAGOSTINI, PTA ARENAS","Magallanes y de la Antártica Chilena",24/12/10,23/12/12,3275145,"MAGALLANES","PUNTA ARENAS"
"Competitividad / Conectividad","Dirección de Obras Portuarias",34345,"30069169-0","EN EJECUCION","Sectorial","CONSTRUCCION Y MEJORAMIENTO INFRAEST. PORTUARIA L. GENERAL CARRERA","Aysén del General Carlos Ibáñez del Campo",07/11/07,30/12/26,9641263,"GENERAL CARRERA","CHILE CHICO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34333,"30072543-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA AGUA POTABLE RURAL DE CALETA PAPOSO","Antofagasta",09/09/11,01/05/13,553017,"ANTOFAGASTA","TALTAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34325,"30072499-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA AGUA POTABLE CALAMA RURAL CALAMA RURAL","Antofagasta",23/08/11,21/07/13,632180,"EL LOA","CALAMA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34320,"30072466-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA AGUA POTABLE Y ALCANTARILLADO RURAL DE CASPANA LOCALIDAD DE CASPANA","Antofagasta",22/11/12,31/12/14,549079,"EL LOA","CALAMA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34311,"30068289-0","TERMINADO","Sectorial","CONSTRUCCION INSTALACION DE SERVICIO APR DE CULENAR , COMUNA DE COIHUECO","Ñuble",13/01/09,17/03/13,874786,"PUNILLA","COIHUECO"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34309,"30073395-0","TERMINADO","Sectorial","DIAGNOSTICO COMPORTAMIENTO HIDRAULUCO E HIDROLOGICO ESTERO PELALES FREIRE","La Araucanía",01/07/11,31/05/12,174976,"CAUTIN","FREIRE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34306,"30071971-0","TERMINADO","Sectorial","AMPLIACION APR SAN VALENTIN ESTRELLA DE LIRCAY","Maule",23/12/08,01/07/12,635852,"TALCA","TALCA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34294,"30066751-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACION SERVICIO APR ABRANQUIL - PUIPUYEN COMUNA DE YERBAS BUENAS","Maule",23/07/12,19/04/13,926897,"LINARES","YERBAS BUENAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34292,"30045744-0","TERMINADO","Sectorial","AMPLIACION SERVICIO DE A P R LA AMERICANA COMUNA DE HIJUELAS","Valparaíso",31/12/08,19/03/16,830394,"QUILLOTA","HIJUELAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34290,"30061526-0","TERMINADO","Extrasectorial","AMPLIACION AMPLIACION SERVICIO DE AGUA POTABLE RURAL RABUCO RABUCO","Valparaíso",31/08/12,28/05/13,1246030.378,"QUILLOTA","HIJUELAS"
"Competitividad / Conectividad","Dirección de Vialidad",34289,"30069292-0","TERMINADO","Mixto","MEJORAMIENTO EN RUTA R-42 CAMINO PUREN - LUMACO, IX REGION","La Araucanía",31/03/08,19/11/21,23511266.462,"MALLECO","LUMACO, PUREN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34288,"30070004-0","TERMINADO","Sectorial","AMPLIACION SERVICIO APR TRONCAL SAN PEDRO, COMUNA QUILLOTA","Valparaíso",20/12/08,17/02/16,1239084,"QUILLOTA","QUILLOTA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34286,"30070005-0","TERMINADO","Sectorial","AMPLIACION SERVICIO AGUA POTABLE RURAL LA PALMA DE QUILLOTA.","Valparaíso",20/12/08,16/08/17,2557889,"QUILLOTA","QUILLOTA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34285,"30072041-0","TERMINADO","Sectorial","AMPLIACION SERVICIO APR SANTA ROSA DE COLMO - SAN RAMÓN QUILLOTA","Valparaíso",27/02/17,31/12/18,2455202,"QUILLOTA","QUILLOTA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34276,"30070188-0","TERMINADO","Sectorial","AMPLIACION SERVICIO APR VENTANA ALTO , COMUNA DE PUCHUNCAVÍ","Valparaíso",18/12/09,01/04/17,2565634,"VALPARAISO","PUCHUNCAVI"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34271,"30070207-0","TERMINADO","Sectorial","AMPLIACION SERVICIO APR QUEBRADA HERRERA COMUNA DE PUTAENDO.","Valparaíso",31/12/08,12/10/15,917082,"SAN FELIPE","PUTAENDO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34267,"30070062-0","TERMINADO","Sectorial","AMPLIACION SERVICIO APR RINCONADA DE GUZMANES COMUNA DE PUTAENDO","Valparaíso",31/12/08,20/09/15,1370663,"SAN FELIPE","PUTAENDO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34265,"30071469-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACION APR SAN PEDRO DE ALCANTARA, PAREDONES","Libertador General Bernardo O'Higgins",29/01/19,26/11/21,2850953,"CARDENAL CARO","PAREDONES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34264,"30072082-0","TERMINADO","Sectorial","MEJORAMIENTO MEJORAMIENTO SERVICIO APR EL ZAINO-JAHUELITO, COMUNA SANTA MARÍA SANTA MARIA","Valparaíso",23/12/08,16/03/13,545619,"SAN FELIPE","SANTA MARIA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34261,"30071399-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO DE APR ANGOSTURA DE SAN FERNANDO SAN FERNANDO","Libertador General Bernardo O'Higgins",14/02/09,29/07/12,754718,"COLCHAGUA","SAN FERNANDO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34256,"30069973-0","TERMINADO","Sectorial","AMPLIACION SERVICIO DE APR EL COBRE-LO CALVO, COMUNA SAN ESTEBAN","Valparaíso",21/12/17,23/08/19,1037154,"LOS ANDES","SAN ESTEBAN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34250,"30070021-0","DISEÑO","Sectorial","AMPLIACION AMPLIACION SERVICIO APR BOLONIA COMUNA DE LA CRUZ LA CRUZ","Valparaíso",21/03/12,18/08/12,36582,"QUILLOTA","LA CRUZ"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34249,"30069985-0","TERMINADO","Sectorial","AMPLIACION AMPLIACION SERVICIO AGUA POTABLE RURAL PULLANCÓN COMUNA LA LIGUA. LA LIGUA","Valparaíso",31/12/08,10/04/13,659609,"PETORCA","LA LIGUA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34247,"30070755-0","TERMINADO","Sectorial","AMPLIACION SERVICIO APR SANTA TERESA-LOS LOROS DE LLAY-LLAY.","Valparaíso",31/12/08,30/12/17,748449,"SAN FELIPE","LLAILLAY"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34245,"30073124-0","TERMINADO","Sectorial","AMPLIACION SISTEMA APR DOMINGO MANCILLA A SAN PEDRO","Maule",22/12/08,11/03/12,196916,"CURICO","TENO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34244,"30070026-0","TERMINADO","Mixto","AMPLIACION AMPLIACION SERVICIO APR QUEBRADA ALVARADO, COMUNA DE OLMUÉ OLMUE","Valparaíso",31/12/08,27/08/17,1560398,"MARGA MARGA","OLMUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34242,"30070024-0","TERMINADO","Mixto","AMPLIACION AMPLIACION SERVICIO DE APR EL GRANIZO COMUNA DE OLMUÉ OLMUE","Valparaíso",07/11/08,05/05/16,1023056.59,"MARGA MARGA","OLMUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34241,"30070639-0","TERMINADO","Sectorial","AMPLIACION AMPLIACION DISEÑO AMPLIACIÓN SERVICIO APR EL SOBRANTE PETORCA","Valparaíso",20/12/08,04/04/13,1268871,"PETORCA","PETORCA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34237,"30069977-0","TERMINADO","Sectorial","AMPLIACION SERVICIO APR LA VEGA-LA VIÑA, COMUNA DE CABILDO","Valparaíso",31/12/08,21/05/24,2789293,"PETORCA","CABILDO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34231,"30072611-0","TERMINADO","Sectorial","-- INSTALACION SISTEMA APR PAMA ARRIBA COMBARBALA","Coquimbo",01/12/09,27/12/13,588968,"LIMARI","COMBARBALA"
